"StichtagDatJahr","DatenstandCd","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzNeubauWhg_noDM","AnzAbbruchWhg_noDM"
2010,"D",61,"03401","Schaufelbergerstrasse",34,"034","Sihlfeld",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",,50
2010,"D",62,"03402","Friedhof Sihlfeld",34,"034","Sihlfeld",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",,81
2010,"D",67,"03407","Bahnhof Wiedikon",34,"034","Sihlfeld",3,"3","Kreis 3",4,"4","Natürliche Personen",,2
2010,"D",68,"03408","Sihlhölzli",34,"034","Sihlfeld",3,"3","Kreis 3",1,"1","Öffentliche Hand",,
2010,"D",71,"04101","Kalkbreite",41,"041","Werd",4,"4","Kreis 4",1,"1","Öffentliche Hand",,2
2010,"D",76,"04202","Bäckeranlage",42,"042","Langstrasse",4,"4","Kreis 4",1,"1","Öffentliche Hand",,8
2010,"D",77,"04203","Wengi",42,"042","Langstrasse",4,"4","Kreis 4",2,"2","Wohnbaugenossenschaften",,
2010,"D",80,"04206","Kaserne",42,"042","Langstrasse",4,"4","Kreis 4",1,"1","Öffentliche Hand",,
2010,"D",80,"04206","Kaserne",42,"042","Langstrasse",4,"4","Kreis 4",3,"3","Übrige private Gesellschaften",,
2010,"D",82,"04401","Schlachthof",44,"044","Hard",4,"4","Kreis 4",3,"3","Übrige private Gesellschaften",,
2010,"D",83,"04402","Hardau",44,"044","Hard",4,"4","Kreis 4",2,"2","Wohnbaugenossenschaften",54,
2010,"D",83,"04402","Hardau",44,"044","Hard",4,"4","Kreis 4",3,"3","Übrige private Gesellschaften",,
2010,"D",84,"04403","Bullingerhof",44,"044","Hard",4,"4","Kreis 4",1,"1","Öffentliche Hand",,
2010,"D",86,"04405","Güterbahnhof",44,"044","Hard",4,"4","Kreis 4",2,"2","Wohnbaugenossenschaften",,
2010,"D",86,"04405","Güterbahnhof",44,"044","Hard",4,"4","Kreis 4",3,"3","Übrige private Gesellschaften",14,
2010,"D",89,"05101","Josefswiese",51,"051","Gewerbeschule",5,"5","Kreis 5",1,"1","Öffentliche Hand",0,
2010,"D",89,"05101","Josefswiese",51,"051","Gewerbeschule",5,"5","Kreis 5",3,"3","Übrige private Gesellschaften",,
2010,"D",93,"05105","Ackerstrasse",51,"051","Gewerbeschule",5,"5","Kreis 5",3,"3","Übrige private Gesellschaften",,1
2010,"D",96,"05201","Hardturm",52,"052","Escher Wyss",5,"5","Kreis 5",3,"3","Übrige private Gesellschaften",,
2010,"D",97,"05202","Technopark",52,"052","Escher Wyss",5,"5","Kreis 5",1,"1","Öffentliche Hand",,2
2010,"D",97,"05202","Technopark",52,"052","Escher Wyss",5,"5","Kreis 5",3,"3","Übrige private Gesellschaften",,
2010,"D",98,"05203","Neue Hard",52,"052","Escher Wyss",5,"5","Kreis 5",1,"1","Öffentliche Hand",,
