"StichtagDatJahr","DatenstandCd","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl3Sort_noDM","EigentuemerSSZPubl3Cd_noDM","EigentuemerSSZPubl3Lang_noDM","GebaeudeMitWohnungSort_noDM","GebaeudeMitWohnungCd_noDM","GebaeudeMitWohnungLang_noDM","AnzGbd","AnzWhgStat","Wohnflaeche","AnzBestWir"
2008,"D",31,"02111","Seeblickstrasse",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",112,408,38731,739
2008,"D",32,"02112","See Süd-West",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",2,0,0,0
2008,"D",32,"02112","See Süd-West",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",3,0,0,0
2008,"D",34,"02301","Höckler",23,"023","Leimbach",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",44,0,0,0
2008,"D",34,"02301","Höckler",23,"023","Leimbach",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",138,340,29025,993
2008,"D",34,"02301","Höckler",23,"023","Leimbach",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",61,0,0,3
2008,"D",34,"02301","Höckler",23,"023","Leimbach",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",117,312,27683,585
2008,"D",35,"02302","Marbachweg",23,"023","Leimbach",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",28,0,0,0
2008,"D",35,"02302","Marbachweg",23,"023","Leimbach",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",179,340,23215,757
2008,"D",35,"02302","Marbachweg",23,"023","Leimbach",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",53,0,0,0
2008,"D",35,"02302","Marbachweg",23,"023","Leimbach",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",110,298,21838,547
2008,"D",36,"02303","Sihlweidstrasse",23,"023","Leimbach",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",28,0,0,0
2008,"D",36,"02303","Sihlweidstrasse",23,"023","Leimbach",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",28,488,37222,949
2008,"D",36,"02303","Sihlweidstrasse",23,"023","Leimbach",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",46,0,0,1
2008,"D",36,"02303","Sihlweidstrasse",23,"023","Leimbach",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",106,651,60559,1350
2008,"D",38,"02401","Parkring",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",22,0,0,15
2008,"D",38,"02401","Parkring",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",2,4,514,22
2008,"D",38,"02401","Parkring",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",83,0,0,16
2008,"D",38,"02401","Parkring",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",98,651,55638,1034
2008,"D",39,"02402","Kongresshaus",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",7,0,0,0
2008,"D",39,"02402","Kongresshaus",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",2,7,703,24
2008,"D",39,"02402","Kongresshaus",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",87,0,0,7
2008,"D",39,"02402","Kongresshaus",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",108,482,47031,706
2008,"D",40,"02403","Belvoir-Park",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",61,0,0,0
2008,"D",40,"02403","Belvoir-Park",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",6,8,731,17
2008,"D",40,"02403","Belvoir-Park",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",61,0,0,0
2008,"D",40,"02403","Belvoir-Park",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",117,670,58198,1044
2008,"D",41,"02404","Museum Rietberg",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",25,0,0,0
2008,"D",41,"02404","Museum Rietberg",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",18,98,7959,215
2008,"D",41,"02404","Museum Rietberg",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",130,0,0,47
2008,"D",41,"02404","Museum Rietberg",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",315,1495,140300,2762
2008,"D",42,"02405","Rieterplatz",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",15,0,0,29
2008,"D",42,"02405","Rieterplatz",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",29,211,15949,443
2008,"D",42,"02405","Rieterplatz",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",45,0,0,50
2008,"D",42,"02405","Rieterplatz",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",173,1178,84641,1817
2008,"D",43,"02406","Gartenstrasse",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",6,0,0,0
2008,"D",43,"02406","Gartenstrasse",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",57,0,0,4
2008,"D",43,"02406","Gartenstrasse",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",66,217,22682,297
2008,"D",44,"02407","See West",24,"024","Enge",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",2,0,0,0
2008,"D",44,"02407","See West",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",3,0,0,0
2008,"D",44,"02407","See West",24,"024","Enge",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",1,1,56,0
2008,"D",47,"03101","Höfliweg",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",7,0,0,0
2008,"D",47,"03101","Höfliweg",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",36,335,24091,656
2008,"D",47,"03101","Höfliweg",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",43,0,0,110
2008,"D",47,"03101","Höfliweg",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",295,2157,151524,3331
2008,"D",48,"03102","Goldbrunnenplatz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",13,0,0,0
2008,"D",48,"03102","Goldbrunnenplatz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",5,66,3515,100
2008,"D",48,"03102","Goldbrunnenplatz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",39,0,0,5
2008,"D",48,"03102","Goldbrunnenplatz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",171,1302,84343,2126
2008,"D",49,"03103","Gotthelfstrasse",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",4,0,0,0
2008,"D",49,"03103","Gotthelfstrasse",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",6,38,2606,58
2008,"D",49,"03103","Gotthelfstrasse",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",16,0,0,0
2008,"D",49,"03103","Gotthelfstrasse",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",129,1233,70375,1815
2008,"D",50,"03104","Manesseplatz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",27,0,0,0
2008,"D",50,"03104","Manesseplatz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",50,284,21442,604
2008,"D",50,"03104","Manesseplatz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",58,0,0,1
2008,"D",50,"03104","Manesseplatz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",194,1468,101050,2601
2008,"D",51,"03105","Binz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",9,0,0,0
2008,"D",51,"03105","Binz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",5,35,2187,68
2008,"D",51,"03105","Binz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",85,0,0,0
2008,"D",51,"03105","Binz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",182,1071,97163,2060
2008,"D",52,"03106","Saalsporthalle",31,"031","Alt-Wiedikon",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",17,0,0,0
2008,"D",52,"03106","Saalsporthalle",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",90,0,0,14
2008,"D",52,"03106","Saalsporthalle",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",172,1241,101797,2144
2008,"D",54,"03301","Heuried",33,"033","Friesenberg",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",16,0,0,0
2008,"D",54,"03301","Heuried",33,"033","Friesenberg",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",133,142,13355,446
2008,"D",54,"03301","Heuried",33,"033","Friesenberg",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",10,0,0,0
2008,"D",54,"03301","Heuried",33,"033","Friesenberg",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",57,374,22766,558
2008,"D",55,"03302","Gehrenholz",33,"033","Friesenberg",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",22,0,0,113
2008,"D",55,"03302","Gehrenholz",33,"033","Friesenberg",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",200,810,66695,2140
2008,"D",55,"03302","Gehrenholz",33,"033","Friesenberg",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",15,0,0,0
2008,"D",55,"03302","Gehrenholz",33,"033","Friesenberg",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",96,100,13124,35
2008,"D",56,"03303","Uetliberg",33,"033","Friesenberg",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",39,0,0,0
2008,"D",56,"03303","Uetliberg",33,"033","Friesenberg",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",291,594,52189,1582
2008,"D",56,"03303","Uetliberg",33,"033","Friesenberg",3,"3","Kreis 3",3,"2","andere",0,"0","Nein",25,0,0,1
2008,"D",56,"03303","Uetliberg",33,"033","Friesenberg",3,"3","Kreis 3",3,"2","andere",1,"1","Ja",48,180,11267,247
2008,"D",57,"03304","Strassenverkehrsamt",33,"033","Friesenberg",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",0,"0","Nein",26,0,0,3
2008,"D",57,"03304","Strassenverkehrsamt",33,"033","Friesenberg",3,"3","Kreis 3",1,"1","städtisch/genossenschaftlich",1,"1","Ja",230,457,35298,1130
